eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Herse,FALSE,23405000,0,0,0.2,164.2,1,0,0,2,0,0,0,NA,717.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029751933347575300,5.355348002563560,8.24925655028653E-12,7.89473684210526E-15,0.15645276159669300,3636748319772.2000
S/2003 J 2,FALSE,28332000,0,0,0.38,151.8,1,0,0,1,0,0,0,NA,982.5,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.024577968374982400,4.424034307496820,2.06231413757163E-12,7.89473684210526E-15,0.1893877223481100,2481853096248.5500
Eupheme,FALSE,20230000,0,0,0.253,148,1,0,0,1,0,0,0,NA,504,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03442130499258530,6.195834898665350,2.06231413757163E-12,7.89473684210526E-15,0.13522919748349100,4867867765872.890
S/2003 J 4,FALSE,23928000,0,0,0.204,144.9,1,0,0,1,0,0,0,NA,723.2,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02910159645603480,5.2382873620862600,2.06231413757163E-12,7.89473684210526E-15,0.15994880066163900,3479507185883.960
Eirene,FALSE,23493000,0,0,0.22,163.1,1,0,0,2,0,0,0,NA,759.7,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029640488656195500,5.335287958115180,8.24925655028653E-12,4.73684210526316E-14,0.1570410052634530,21657325846980.00
S/2003 J 9,FALSE,23385000,0,0,0.269,164.5,1,0,0,0.5,0,0,0,NA,683,0,2003,1500000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029777314517853300,5.359916613213600,5.15578534392908E-13,7.89473684210526E-16,0.15631906985424800,364297163126.6950
S/2003 J 10,FALSE,23042000,0,0,0.214,164.1,1,0,0,1,0,0,0,NA,767,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030220597170384500,5.439707490669210,2.06231413757163E-12,7.89473684210526E-15,0.15402625647131000,3752236408909.190
S/2003 J 12,FALSE,17835000,0,0,0.376,145.8,1,0,0,0.5,0,0,0,NA,533.3,0,2003,1000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03904359405663020,7.02784693019344,5.15578534392908E-13,5.26315789473684E-16,0.11921961132565800,417535158791.7430
Philophrosyne,FALSE,22622000,0,0,0.194,143.6,1,0,0,1,0,0,0,NA,668.4,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03078167270798340,5.540701087437010,2.06231413757163E-12,7.89473684210526E-15,0.1512187298799570,3892857815891.4100
S/2003 J 16,FALSE,20948000,0,0,0.23,148.5,1,0,0,1,0,0,0,NA,595.4,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03324150276876070,5.983470498376930,2.06231413757163E-12,7.89473684210526E-15,0.14002873103727900,4539890806477.560
S/2003 J 18,FALSE,20494000,0,0,0.105,146.4,1,0,0,1,0,0,0,NA,606.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.033977895969552100,6.116021274519370,2.06231413757163E-12,7.89473684210526E-15,0.13699392848377000,4743261562372.220
S/2003 J 19,FALSE,23532000,0,0,0.334,162.9,1,0,0,1,0,0,0,NA,701.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02959132245453,5.3264380418154000,2.06231413757163E-12,7.89473684210526E-15,0.15730170416122100,3597599865748.5800
S/2003 J 23,FALSE,23549000,0,0,0.309,149.2,1,8.1E-04,0,1,0,0,0,NA,759.7,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02956996050787720,5.322592891417890,2.06231413757163E-12,7.89473684210526E-15,0.15741534214230000,3592407532967.120
Mimas,FALSE,185539,181770,189270,0.0202,1.53,1.15,0,0,396.4,0,0,0,415x394x381,0.94,22.56,17/09/1789,3.79E+19,NA,Secondary,Saturn,NA,NA,NA,3.7552126507095500,675.9382771277200,3.24057524886478E-07,1.99473684210526E-08,0.0012402516100785700,14622043298592274e7
Enceladus,FALSE,238037,236830,239066,0.0045,0,1.61,0,0,504.2,0,0,0,NA,1.37,32.88,28/08/1789,1.08E+20,NA,Secondary,Saturn,NA,NA,NA,2.9274700991862600,526.9446178535270,5.24276632992096E-07,5.68421052631579E-08,0.001591179064823410,25314776525314367e7
Tethys,FALSE,294672,294589,294648,0,1.86,0.985,0,0,1066,0,0,0,NA,1.89,45.312,21/03/1684,6.18E+20,NA,Secondary,Saturn,NA,NA,NA,2.3667263940924100,426.0107509366350,2.34352304411435E-06,3.25263157894737E-07,0.0019697606564930900,9452572397181888e8
Dione,FALSE,377415,376580,378260,0.0022,0.02,1.48,0,0,1123.4,0,0,0,NA,2.74,0,21/03/1684,1.1E+21,NA,Secondary,Saturn,NA,NA,NA,1.8480065710159900,332.6411827828780,2.60269727899303E-06,5.78947368421053E-07,0.0025228634487509500,10256369305893162e8
Rhea,FALSE,527068,526543,527597,0.001,0.35,1.24,0,0,1528.6,0,0,0,NA,4.518,108.432,23/12/1672,2.3E+21,NA,Secondary,Saturn,NA,NA,NA,1.3240617908884600,238.3311223599230,4.81884025301179E-06,1.21052631578947E-06,0.003523231965359790,10995976817344066e8
Titan,FALSE,1221865,1186680,1257060,0.0292,0.33,1.88,0,0,2575,0,0,0,NA,15.95,382.8,25/03/1655,1.35E+23,NA,Secondary,Saturn,NA,NA,NA,0.5720083642628280,102.96150556730900,1.36744316784359E-05,7.10526315789474E-05,0.008167663044150530,12009546215458244e9
Hyperion,FALSE,1500934,1466112,1535756,0.1042,0.43,0.55,0,0,266,0,0,0,328x260x214,21.28,0,16/09/1848,5.6E+18,NA,Secondary,Saturn,NA,NA,NA,0.46411634355674500,83.54094184021420,1.45921099118018E-07,2.94736842105263E-09,0.010033124087774900,3301445364468039e5
Iapetus,FALSE,3560851,3460068,3661612,0.0283,14.72,1.09,0,0,1471.2,0,0,0,NA,79.33,1735.92,25/10/1671,1.81E+21,NA,Secondary,Saturn,NA,NA,NA,0.19596809863709500,35.27425775467720,4.46373343388825E-06,9.52631578947368E-07,0.02380281873891670,18958774048654147e6
Phoebe,FALSE,12947913,0,0,0.164,174.8,1.64,0,0,214.4,0,0,0,230x220x210,548.2,9.2736,17/03/1899,8.29E+18,NA,Secondary,Saturn,NA,NA,NA,0.053796808798452700,9.683425583721490,9.47991363948448E-08,4.36315789473684E-09,0.0865514525000522,6567412028370339e3
Janus,FALSE,151460,0,0,0.007,0.14,0.63,0,0,33,0,0,0,195x194x152,0.7,0,15/12/1966,1.9E+18,NA,Secondary,Saturn,NA,NA,NA,4.597748580483300,827.5947444869930,2.24586009581551E-09,1E-09,0.0010124475655387800,11000108648025366e6
Epimetheus,FALSE,151410,0,0,0.009,0.34,0.64,0,0,113.4,0,0,0,116x117x106,0.69,0,18/12/1966,5.3E+17,NA,Secondary,Saturn,NA,NA,NA,4.599797899742420,827.9636219536360,2.65204523909507E-08,2.78947368421053E-10,0.0010121133361826700,3070478278677929e6
Helene,FALSE,377420,0,0,0.005,0,1.3,0,0,33,0,0,0,39x37x25,2.74,0,01/03/1980,2.4E+16,NA,Secondary,Saturn,NA,NA,NA,1.845092999841030,332.1167399713850,2.24586009581551E-09,1.26315789473684E-11,0.002522896871686560,2237694012698568e4
Telesto,FALSE,294710,0,0,0.001,1.158,1,0,0,33,0,0,0,30x23x14,1.89,0,08/04/1980,1E+16,NA,Secondary,Saturn,NA,NA,NA,2.3629160870007800,425.3248956601410,2.24586009581551E-09,5.26315789473684E-12,0.0019700146708037300,15291480451499518e3
Calypso,FALSE,294710,0,0,0.001,1.473,1,0,0,33,0,0,0,31x24x21,1.89,0,13/03/1980,6.5E+15,NA,Secondary,Saturn,NA,NA,NA,2.3629160870007800,425.3248956601410,2.24586009581551E-09,3.42105263157895E-12,0.0019700146708037300,9939462293474687e3
